Class	Sentence	pos_tags
ClauseAnaph	I  went  on,  'I'm  going  to  warn  you,  whether  you  like  it  or  not. 	I/PRP went/VBD on/IN ,/, '/'' I/PRP 'm/VBP going/VBG to/TO warn/VB you/PRP ,/, whether/IN you/PRP like/IN it/PRP or/CC not/RB ./.
NomAnaph	I  brushed  it  aside. 	I/PRP brushed/VBD it/PRP aside/RB ./.
NomAnaph	Yes,  it's  a  fine  property. 	Yes/UH ,/, it/PRP 's/VBZ a/DT fine/JJ property/NN ./.
NomAnaph	We  were  all  busy  during  the  morning  arranging  and  decorating  the  Hall  in  the  village  where  it  was  to  take  place. 	We/PRP were/VBD all/DT busy/JJ during/IN the/DT morning/NN arranging/NN and/CC decorating/VBG the/DT Hall/NNP in/IN the/DT village/NN where/WRB it/PRP was/VBD to/TO take/VB place/NN ./.
NomAnaph	Cynthia  took  the  bottle  and  examined  it  with  the  severity  of  a  judge. 	Cynthia/NNP took/VBD the/DT bottle/NN and/CC examined/VBD it/PRP with/IN the/DT severity/NN of/IN a/DT judge/NN ./.
ClauseAnaph	So  now  it  can't  be  done  until  tomorrow,  finished  Cynthia. 	So/RB now/RB it/PRP ca/MD n't/RB be/VB done/VBN until/IN tomorrow/NN ,/, finished/VBD Cynthia/NNP ./.
ClauseAnaph	Well,  said  Cynthia  graciously,  we  are  very  busy,  but  if  we  have  time  it  shall  be  done. 	Well/RB ,/, said/VBD Cynthia/NNP graciously/RB ,/, we/PRP are/VBP very/RB busy/JJ ,/, but/CC if/IN we/PRP have/VBP time/NN it/PRP shall/MD be/VB done/VBN ./.
NomAnaph	The  little  nurse  withdrew,  and  Cynthia  promptly  took  a  jar  from  the  shelf,  refilled  the  bottle,  and  placed  it  on  the  table  outside  the  door. 	The/DT little/JJ nurse/JJ withdrew/NN ,/, and/CC Cynthia/NNP promptly/RB took/VBD a/DT jar/NN from/IN the/DT shelf/NN ,/, refilled/VBD the/DT bottle/NN ,/, and/CC placed/VBD it/PRP on/IN the/DT table/NN outside/IN the/DT door/NN ./.
NomAnaph	His  head  was  exactly  the  shape  of  an  egg,  and  he  always  perched  it  a  little  on  one  side. 	His/PRP$ head/NN was/VBD exactly/RB the/DT shape/NN of/IN an/DT egg/NN ,/, and/CC he/PRP always/RB perched/VBD it/PRP a/DT little/JJ on/IN one/CD side/NN ./.
NomAnaph	Mary  Cavendish  was  saying  in  the  voice  of  a  woman  desperately  controlling  herself:  Then  you  won't  show  it  to  me? 	Mary/NNP Cavendish/NNP was/VBD saying/VBG in/IN the/DT voice/NN of/IN a/DT woman/NN desperately/RB controlling/VBG herself/PRP :/: Then/RB you/PRP wo/MD n't/RB show/VB it/PRP to/TO me/PRP ?/.
NomAnaph	Then  show  it  to  me. 	Then/RB show/VB it/PRP to/TO me/PRP ./.
NomAnaph	I  tell  you  it  is  not  what  you  imagine. 	I/PRP tell/VBP you/PRP it/PRP is/VBZ not/RB what/WP you/PRP imagine/VBP ./.
NomAnaph	It  does  not  concern  you  in  the  least. 	It/PRP does/VBZ not/RB concern/NN you/PRP in/IN the/DT least/JJS ./.
NomAnaph	I  will  pour  it  out. 	I/PRP will/MD pour/VB it/PRP out/RP ./.
NomAnaph	I  will  take  it  to  Emily. 	I/PRP will/MD take/VB it/PRP to/TO Emily/NNP ./.
NomAnaph	He  poured  it  out,  and  went  out  of  the  room  carrying  it  carefully. 	He/PRP poured/VBD it/PRP out/RP ,/, and/CC went/VBD out/IN of/IN the/DT room/NN carrying/VBG it/PRP carefully/RB ./.
NomAnaph	He  poured  it  out,  and  went  out  of  the  room  carrying  it  carefully. 	He/PRP poured/VBD it/PRP out/RP ,/, and/CC went/VBD out/IN of/IN the/DT room/NN carrying/VBG it/PRP carefully/RB ./.
NomAnaph	He  laughed  rather  ruefully,  as  he  described  how  he  had  discovered  a  very  rare  species  of  fern  in  an  inaccessible  place,  and  in  his  efforts  to  obtain  it  had  lost  his  footing,  and  slipped  ignominiously  into  a  neighbouring  pond. 	He/PRP laughed/VBD rather/RB ruefully/RB ,/, as/IN he/PRP described/VBD how/WRB he/PRP had/VBD discovered/VBN a/DT very/RB rare/JJ species/NNS of/IN fern/NN in/IN an/DT inaccessible/JJ place/NN ,/, and/CC in/IN his/PRP$ efforts/NNS to/TO obtain/VB it/PRP had/VBD lost/VBN his/PRP$ footing/NN ,/, and/CC slipped/VBD ignominiously/RB into/IN a/DT neighbouring/JJ pond/NN ./.
NomAnaph	It  was  obviously  locked  or  bolted  on  the  inside. 	It/PRP was/VBD obviously/RB locked/VBN or/CC bolted/VBN on/IN the/DT inside/NN ./.
NomAnaph	It's  never  been  undone. 	It/PRP 's/VBZ never/RB been/VBN undone/JJ ./.
NomAnaph	The  framework  of  the  door  was  solid,  and  for  a  long  time  it  resisted  our  efforts,  but  at  last  we  felt  it  give  beneath  our  weight,  and  finally,  with  a  resounding  crash,  it  was  burst  open. 	The/DT framework/NN of/IN the/DT door/NN was/VBD solid/JJ ,/, and/CC for/IN a/DT long/JJ time/NN it/PRP resisted/VBD our/PRP$ efforts/NNS ,/, but/CC at/IN last/JJ we/PRP felt/VBD it/PRP give/VB beneath/IN our/PRP$ weight/NN ,/, and/CC finally/RB ,/, with/IN a/DT resounding/NN crash/NN ,/, it/PRP was/VBD burst/JJ open/JJ ./.
NomAnaph	The  framework  of  the  door  was  solid,  and  for  a  long  time  it  resisted  our  efforts,  but  at  last  we  felt  it  give  beneath  our  weight,  and  finally,  with  a  resounding  crash,  it  was  burst  open. 	The/DT framework/NN of/IN the/DT door/NN was/VBD solid/JJ ,/, and/CC for/IN a/DT long/JJ time/NN it/PRP resisted/VBD our/PRP$ efforts/NNS ,/, but/CC at/IN last/JJ we/PRP felt/VBD it/PRP give/VB beneath/IN our/PRP$ weight/NN ,/, and/CC finally/RB ,/, with/IN a/DT resounding/NN crash/NN ,/, it/PRP was/VBD burst/JJ open/JJ ./.
NomAnaph	The  framework  of  the  door  was  solid,  and  for  a  long  time  it  resisted  our  efforts,  but  at  last  we  felt  it  give  beneath  our  weight,  and  finally,  with  a  resounding  crash,  it  was  burst  open. 	The/DT framework/NN of/IN the/DT door/NN was/VBD solid/JJ ,/, and/CC for/IN a/DT long/JJ time/NN it/PRP resisted/VBD our/PRP$ efforts/NNS ,/, but/CC at/IN last/JJ we/PRP felt/VBD it/PRP give/VB beneath/IN our/PRP$ weight/NN ,/, and/CC finally/RB ,/, with/IN a/DT resounding/NN crash/NN ,/, it/PRP was/VBD burst/JJ open/JJ ./.
NomAnaph	We  propose  that  it  should  take  place  tomorrow  night...or  rather  tonight. 	We/PRP propose/VBP that/IN it/PRP should/MD take/VB place/NN tomorrow/NN night/NN .../: or/CC rather/RB tonight/NN ./.
NomAnaph	Wilkins  hadn't  an  idea  of  such  a  thing,  until  Bauerstein  put  it  into  his  head. 	Wilkins/NNS had/VBD n't/RB an/DT idea/NN of/IN such/JJ a/DT thing/NN ,/, until/IN Bauerstein/NNP put/VBD it/PRP into/IN his/PRP$ head/NN ./.
NomAnaph	I  spent  it  in  ransacking  the  library  until  I  discovered  a  medical  book  which  gave  a  description  of  strychnine  poisoning. 	I/PRP spent/VBD it/PRP in/IN ransacking/VBG the/DT library/NN until/IN I/PRP discovered/VBD a/DT medical/JJ book/NN which/WDT gave/VBD a/DT description/NN of/IN strychnine/NN poisoning/NN ./.
NomAnaph	And  that  little  curious  fact,  that  possibly  paltry  little  detail  that  will  not  tally,  we  put  it  here! 	And/CC that/DT little/RB curious/JJ fact/NN ,/, that/IN possibly/RB paltry/VB little/JJ detail/NN that/WDT will/MD not/RB tally/RB ,/, we/PRP put/VBD it/PRP here/RB !/.
NomAnaph	He  was  carefully  engaged  in  brushing  his  coat  before  putting  it  on,  and  seemed  wholly  engrossed  in  the  task. 	He/PRP was/VBD carefully/RB engaged/VBN in/IN brushing/VBG his/PRP$ coat/NN before/IN putting/VBG it/PRP on/IN ,/, and/CC seemed/VBD wholly/RB engrossed/VBN in/IN the/DT task/NN ./.
ClauseAnaph	She  was  obviously  upset,  and  it  had  taken  her  appetite  away. 	She/PRP was/VBD obviously/RB upset/JJ ,/, and/CC it/PRP had/VBD taken/VBN her/PRP$ appetite/JJ away/RB ./.
NomAnaph	Therefore  she  drank  it  between  then  and  half-past  eight...certainly  not  much  later. 	Therefore/RB she/PRP drank/VBD it/PRP between/IN then/RB and/CC half-past/JJ eight/CD .../: certainly/RB not/RB much/JJ later/RBR ./.
NomAnaph	In  the  meantime,  remember  it. 	In/IN the/DT meantime/NN ,/, remember/VB it/PRP ./.
NomAnaph	He  retrieved  it,  and  buried  it  neatly. 	He/PRP retrieved/VBD it/PRP ,/, and/CC buried/VBD it/PRP neatly/RB ./.
NomAnaph	He  retrieved  it,  and  buried  it  neatly. 	He/PRP retrieved/VBD it/PRP ,/, and/CC buried/VBD it/PRP neatly/RB ./.
NomAnaph	He  did  so,  on  the  round  table  by  the  window,  but  it  was  an  ill-advised  proceeding;  for,  the  top  of  it  being  loose,  it  tilted  up,  and  precipitated  the  despatch-case  on  the  floor. 	He/PRP did/VBD so/RB ,/, on/IN the/DT round/NN table/NN by/IN the/DT window/NN ,/, but/CC it/PRP was/VBD an/DT ill-advised/JJ proceeding/NN ;/: for/IN ,/, the/DT top/NN of/IN it/PRP being/VBG loose/JJ ,/, it/PRP tilted/VBD up/RP ,/, and/CC precipitated/VBD the/DT despatch-case/NN on/IN the/DT floor/NN ./.
NomAnaph	He  did  so,  on  the  round  table  by  the  window,  but  it  was  an  ill-advised  proceeding;  for,  the  top  of  it  being  loose,  it  tilted  up,  and  precipitated  the  despatch-case  on  the  floor. 	He/PRP did/VBD so/RB ,/, on/IN the/DT round/NN table/NN by/IN the/DT window/NN ,/, but/CC it/PRP was/VBD an/DT ill-advised/JJ proceeding/NN ;/: for/IN ,/, the/DT top/NN of/IN it/PRP being/VBG loose/JJ ,/, it/PRP tilted/VBD up/RP ,/, and/CC precipitated/VBD the/DT despatch-case/NN on/IN the/DT floor/NN ./.
NomAnaph	He  did  so,  on  the  round  table  by  the  window,  but  it  was  an  ill-advised  proceeding;  for,  the  top  of  it  being  loose,  it  tilted  up,  and  precipitated  the  despatch-case  on  the  floor. 	He/PRP did/VBD so/RB ,/, on/IN the/DT round/NN table/NN by/IN the/DT window/NN ,/, but/CC it/PRP was/VBD an/DT ill-advised/JJ proceeding/NN ;/: for/IN ,/, the/DT top/NN of/IN it/PRP being/VBG loose/JJ ,/, it/PRP tilted/VBD up/RP ,/, and/CC precipitated/VBD the/DT despatch-case/NN on/IN the/DT floor/NN ./.
NomAnaph	He  took  out  the  key  from  the  lock,  and  passed  it  to  me  to  inspect. 	He/PRP took/VBD out/RP the/DT key/NN from/IN the/DT lock/NN ,/, and/CC passed/VBD it/PRP to/TO me/PRP to/TO inspect/VB ./.
NomAnaph	It  was  an  ordinary  key  of  the  Yale  type,  with  a  bit  of  twisted  wire  through  the  handle. 	It/PRP was/VBD an/DT ordinary/JJ key/NN of/IN the/DT Yale/NNP type/NN ,/, with/IN a/DT bit/NN of/IN twisted/JJ wire/NN through/IN the/DT handle/NN ./.
NomAnaph	However,  he  went  to  the  length  of  unbolting  it,  and  opening  and  shutting  it  several  times;  this  he  did  with  the  utmost  precaution  against  making  any  noise. 	However/RB ,/, he/PRP went/VBD to/TO the/DT length/NN of/IN unbolting/VBG it/PRP ,/, and/CC opening/NN and/CC shutting/VBG it/PRP several/JJ times/NNS ;/: this/DT he/PRP did/VBD with/IN the/DT utmost/JJ precaution/NN against/IN making/VBG any/DT noise/NN ./.
NomAnaph	He  examined  it  carefully,  and  then,  nimbly  whipping  out  a  pair  of  small  forceps  from  his  case,  he  drew  out  some  minute  particle  which  he  carefully  sealed  up  in  a  tiny  envelope. 	He/PRP examined/VBD it/PRP carefully/RB ,/, and/CC then/RB ,/, nimbly/RB whipping/VBG out/RP a/DT pair/NN of/IN small/JJ forceps/NNS from/IN his/PRP$ case/NN ,/, he/PRP drew/VBD out/RP some/DT minute/NN particle/NN which/WDT he/PRP carefully/RB sealed/VBD up/RP in/IN a/DT tiny/JJ envelope/NN ./.
NomAnaph	A  small  quantity  of  a  dark  fluid  remained  in  the  saucepan,  and  an  empty  cup  and  saucer  that  had  been  drunk  out  of  stood  near  it. 	A/DT small/JJ quantity/NN of/IN a/DT dark/JJ fluid/NN remained/VBD in/IN the/DT saucepan/NN ,/, and/CC an/DT empty/JJ cup/NN and/CC saucer/NN that/WDT had/VBD been/VBN drunk/VBN out/IN of/IN stood/NN near/IN it/PRP ./.
NomAnaph	Poirot  delicately  dipped  his  finger  into  liquid,  and  tasted  it  gingerly. 	Poirot/NNP delicately/RB dipped/VBD his/PRP$ finger/NN into/IN liquid/NN ,/, and/CC tasted/VBD it/PRP gingerly/RB ./.
NomAnaph	Mon  ami,  he  said,  turning  to  me,  somebody  stepped  on  that  cup,  grinding  it  to  powder,  and  the  reason  they  did  so  was  either  because  it  contained  strychnine  or...which  is  far  more  serious...because  it  did  not  contain  strychnine! 	Mon/NNP ami/NN ,/, he/PRP said/VBD ,/, turning/VBG to/TO me/PRP ,/, somebody/NN stepped/VBD on/IN that/DT cup/NN ,/, grinding/VBG it/PRP to/TO powder/VB ,/, and/CC the/DT reason/NN they/PRP did/VBD so/RB was/VBD either/CC because/IN it/PRP contained/VBD strychnine/NN or/CC .../: which/WDT is/VBZ far/RB more/RBR serious/JJ .../: because/IN it/PRP did/VBD not/RB contain/VB strychnine/NN !/.
NomAnaph	Mon  ami,  he  said,  turning  to  me,  somebody  stepped  on  that  cup,  grinding  it  to  powder,  and  the  reason  they  did  so  was  either  because  it  contained  strychnine  or...which  is  far  more  serious...because  it  did  not  contain  strychnine! 	Mon/NNP ami/NN ,/, he/PRP said/VBD ,/, turning/VBG to/TO me/PRP ,/, somebody/NN stepped/VBD on/IN that/DT cup/NN ,/, grinding/VBG it/PRP to/TO powder/VB ,/, and/CC the/DT reason/NN they/PRP did/VBD so/RB was/VBD either/CC because/IN it/PRP contained/VBD strychnine/NN or/CC .../: which/WDT is/VBZ far/RB more/RBR serious/JJ .../: because/IN it/PRP did/VBD not/RB contain/VB strychnine/NN !/.
NomAnaph	Mon  ami,  he  said,  turning  to  me,  somebody  stepped  on  that  cup,  grinding  it  to  powder,  and  the  reason  they  did  so  was  either  because  it  contained  strychnine  or...which  is  far  more  serious...because  it  did  not  contain  strychnine! 	Mon/NNP ami/NN ,/, he/PRP said/VBD ,/, turning/VBG to/TO me/PRP ,/, somebody/NN stepped/VBD on/IN that/DT cup/NN ,/, grinding/VBG it/PRP to/TO powder/VB ,/, and/CC the/DT reason/NN they/PRP did/VBD so/RB was/VBD either/CC because/IN it/PRP contained/VBD strychnine/NN or/CC .../: which/WDT is/VBZ far/RB more/RBR serious/JJ .../: because/IN it/PRP did/VBD not/RB contain/VB strychnine/NN !/.
NomAnaph	It  fitted,  and  he  opened  the  box,  but  after  a  moment's  hesitation,  closed  and  relocked  it,  and  slipped  the  bunch  of  keys,  as  well  as  the  key  that  had  originally  stood  in  the  lock,  into  his  own  pocket. 	It/PRP fitted/VBD ,/, and/CC he/PRP opened/VBD the/DT box/NN ,/, but/CC after/IN a/DT moment/NN 's/POS hesitation/NN ,/, closed/VBD and/CC relocked/VBD it/PRP ,/, and/CC slipped/VBD the/DT bunch/NN of/IN keys/NNS ,/, as/RB well/RB as/IN the/DT key/NN that/WDT had/VBD originally/RB stood/VBN in/IN the/DT lock/NN ,/, into/IN his/PRP$ own/JJ pocket/NN ./.
NomAnaph	It  fitted,  and  he  opened  the  box,  but  after  a  moment's  hesitation,  closed  and  relocked  it,  and  slipped  the  bunch  of  keys,  as  well  as  the  key  that  had  originally  stood  in  the  lock,  into  his  own  pocket. 	It/PRP fitted/VBD ,/, and/CC he/PRP opened/VBD the/DT box/NN ,/, but/CC after/IN a/DT moment/NN 's/POS hesitation/NN ,/, closed/VBD and/CC relocked/VBD it/PRP ,/, and/CC slipped/VBD the/DT bunch/NN of/IN keys/NNS ,/, as/RB well/RB as/IN the/DT key/NN that/WDT had/VBD originally/RB stood/VBN in/IN the/DT lock/NN ,/, into/IN his/PRP$ own/JJ pocket/NN ./.
ClauseAnaph	But  it  should  be  done...at  once! 	But/CC it/PRP should/MD be/VB done/VBN .../: at/IN once/RB !/.
NomAnaph	He  went  down  on  his  knees,  examining  it  minutely...even  going  so  far  as  to  smell  it. 	He/PRP went/VBD down/RB on/IN his/PRP$ knees/NNS ,/, examining/VBG it/PRP minutely/RB .../: even/RB going/VBG so/RB far/RB as/IN to/TO smell/VB it/PRP ./.
NomAnaph	Finally,  he  poured  a  few  drops  of  the  cocoa  into  a  test  tube,  sealing  it  up  carefully. 	Finally/RB ,/, he/PRP poured/VBD a/DT few/JJ drops/NNS of/IN the/DT cocoa/NN into/IN a/DT test/NN tube/NN ,/, sealing/VBG it/PRP up/RP carefully/RB ./.
NomAnaph	No,  for  it  is  still  perceptibly  damp  and  smells  of  coffee. 	No/DT ,/, for/IN it/PRP is/VBZ still/RB perceptibly/RB damp/JJ and/CC smells/NNS of/IN coffee/NN ./.
NomAnaph	It  may  turn  out  to  be  a  piece  of  one  of  Mr.s.  Inglethorp's  own  dresses,  and  quite  unimportant. 	It/PRP may/MD turn/VB out/RP to/TO be/VB a/DT piece/NN of/IN one/CD of/IN Mr.s/NNP ./. Inglethorp/NNP 's/POS own/JJ dresses/NNS ,/, and/CC quite/RB unimportant/JJ ./.
NomAnaph	It  must  have  been  done  since  yesterday,  otherwise  a  good  housemaid  would  have  at  once  removed  it  with  blotting-paper  and  a  hot  iron. 	It/PRP must/MD have/VB been/VBN done/VBN since/IN yesterday/NN ,/, otherwise/RB a/DT good/JJ housemaid/NN would/MD have/VB at/IN once/RB removed/VBD it/PRP with/IN blotting-paper/NN and/CC a/DT hot/JJ iron/NN ./.
NomAnaph	It  must  have  been  done  since  yesterday,  otherwise  a  good  housemaid  would  have  at  once  removed  it  with  blotting-paper  and  a  hot  iron. 	It/PRP must/MD have/VB been/VBN done/VBN since/IN yesterday/NN ,/, otherwise/RB a/DT good/JJ housemaid/NN would/MD have/VB at/IN once/RB removed/VBD it/PRP with/IN blotting-paper/NN and/CC a/DT hot/JJ iron/NN ./.
NomAnaph	I  suppose  it  is  the  sample  of  cocoa. 	I/PRP suppose/VBP it/PRP is/VBZ the/DT sample/NN of/IN cocoa/NN ./.
NomAnaph	The  fire  burns...and  it  destroys. 	The/DT fire/NN burns/NNS .../: and/CC it/PRP destroys/VBZ ./.
NomAnaph	I  relinquished  the  piece  of  paper,  and  watched  him  put  it  away  in  his  case,  with  the  same  methodical  care  that  he  bestowed  on  everything. 	I/PRP relinquished/VBD the/DT piece/NN of/IN paper/NN ,/, and/CC watched/VBD him/PRP put/VB it/PRP away/RP in/IN his/PRP$ case/NN ,/, with/IN the/DT same/JJ methodical/JJ care/NN that/IN he/PRP bestowed/VBD on/IN everything/NN ./.
NomAnaph	We  went  out  through  that  door,  locking  both  it  and  that  of  Mr.s.  Inglethorp's  room  as  before. 	We/PRP went/VBD out/RP through/IN that/DT door/NN ,/, locking/VBG both/CC it/PRP and/CC that/IN of/IN Mr.s/NNP ./. Inglethorp/NNP 's/POS room/NN as/IN before/IN ./.
NomAnaph	It  has  been  recently  done;  is  it  not  so? 	It/PRP has/VBZ been/VBN recently/RB done/VBN ;/: is/VBZ it/PRP not/RB so/RB ?/.
NomAnaph	I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. 	I/PRP do/VBP n't/RB know/VB if/IN it/PRP was/VBD a/DT letter/NN ,/, or/CC just/RB a/DT piece/NN of/IN paper/NN ,/, but/CC it/PRP had/VBD writing/VBG on/IN it/PRP ,/, and/CC she/PRP kept/VBD staring/VBG at/IN it/PRP ,/, almost/RB as/IN if/IN she/PRP could/MD n't/RB believe/VB what/WP was/VBD written/VBN there/RB ./.
NomAnaph	I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. 	I/PRP do/VBP n't/RB know/VB if/IN it/PRP was/VBD a/DT letter/NN ,/, or/CC just/RB a/DT piece/NN of/IN paper/NN ,/, but/CC it/PRP had/VBD writing/VBG on/IN it/PRP ,/, and/CC she/PRP kept/VBD staring/VBG at/IN it/PRP ,/, almost/RB as/IN if/IN she/PRP could/MD n't/RB believe/VB what/WP was/VBD written/VBN there/RB ./.
NomAnaph	I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. 	I/PRP do/VBP n't/RB know/VB if/IN it/PRP was/VBD a/DT letter/NN ,/, or/CC just/RB a/DT piece/NN of/IN paper/NN ,/, but/CC it/PRP had/VBD writing/VBG on/IN it/PRP ,/, and/CC she/PRP kept/VBD staring/VBG at/IN it/PRP ,/, almost/RB as/IN if/IN she/PRP could/MD n't/RB believe/VB what/WP was/VBD written/VBN there/RB ./.
NomAnaph	I  don't  know  if  it  was  a  letter,  or  just  a  piece  of  paper,  but  it  had  writing  on  it,  and  she  kept  staring  at  it,  almost  as  if  she  couldn't  believe  what  was  written  there. 	I/PRP do/VBP n't/RB know/VB if/IN it/PRP was/VBD a/DT letter/NN ,/, or/CC just/RB a/DT piece/NN of/IN paper/NN ,/, but/CC it/PRP had/VBD writing/VBG on/IN it/PRP ,/, and/CC she/PRP kept/VBD staring/VBG at/IN it/PRP ,/, almost/RB as/IN if/IN she/PRP could/MD n't/RB believe/VB what/WP was/VBD written/VBN there/RB ./.
NomAnaph	She  still  had  the  letter,  or  whatever  it  was,  in  her  hand? 	She/PRP still/RB had/VBD the/DT letter/NN ,/, or/CC whatever/VB it/PRP was/VBD ,/, in/IN her/PRP$ hand/NN ?/.
NomAnaph	What  would  she  be  likely  to  do  with  it  afterwards? 	What/WP would/MD she/PRP be/VB likely/RB to/TO do/VB with/IN it/PRP afterwards/NNS ?/.
NomAnaph	Well,  I  don't  know,  sir,  I  expect  she  would  lock  it  up  in  that  purple  case  of  hers. 	Well/RB ,/, I/PRP do/VBP n't/RB know/VB ,/, sir/FW ,/, I/PRP expect/VBP she/PRP would/MD lock/VB it/PRP up/RP in/IN that/DT purple/JJ case/NN of/IN hers/NNS ./.
NomAnaph	She  brought  it  down  with  her  every  morning,  and  took  it  up  every  night. 	She/PRP brought/VBD it/PRP down/RP with/IN her/PRP$ every/DT morning/NN ,/, and/CC took/VBD it/PRP up/RP every/DT night/NN ./.
NomAnaph	She  brought  it  down  with  her  every  morning,  and  took  it  up  every  night. 	She/PRP brought/VBD it/PRP down/RP with/IN her/PRP$ every/DT morning/NN ,/, and/CC took/VBD it/PRP up/RP every/DT night/NN ./.
